Year;BirdID;Bague;Colonie;Filename;AnneeBaguage;PremierDeDateBaguage;PremierDeSexeVisuel;PremierDeSexeGenetique;PremierDeSexéGénétiquement;PremierDeStatutBaguage;Age;Sexe;PersWind;Pers;TripID;MaxRange;TotDist;Duration;nb_serdetjour;avg_nbbat;nb_locjour;nb_int;nb_loc;propint;prop_cro;firstleavecro;ER;CorrectedMassGain;NonCorrMG;ER15-2;ER20-2;ER25-2;ER30-2;ER15-4;ER20-4;ER25-4;ER30-4;ER15-8;ER20-8;ER25-8;ER30-8;ER15-24;ER20-24;ER25-24;ER30-24;ER15-96;ER20-96;ER25-96;ER30-96
2013;201303;BS21368;PB;An104 BC7 GPS309 070313;1997;01-oct-97;M;;0;P;16;M;0.0365715;0.0365715;201303,1;1533.40579414147;6991.60143577622;14.0145717592593;0;0.997446808510638;710;0;1175;0;0.0485106382978723;23;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;201301;BS21263;PB;AN104 U56 GPS411 180213;2000;21-sept-00;F;;0;P;13;F;0.1498839;0.1498839;201301,1;1981.34203088208;9683.2351925959;15.5937268518519;1;1.40811808118081;823;0;1355;0;0.0619926199261993;24;5540.68958760423;NA;NA;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821;0.0641283517083821
2013;201304;BS21214;PB;An12645 AY8 GPS222 110313;2000;20-sept-00;M;;0;P;13;M;0.7240241;0.7240241;201304,1;1033.68964572039;5014.53648609378;7.96006944444444;1;0.997142857142857;394;49;700;0.07;0.181428571428571;20;10854.1766630316;NA;NA;0.251254089422028;0.251254089422028;0.251254089422028;0.251254089422028;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014;0.125627044711014
2013;201305;BS21258;PB;An12645 BS21258 GPS323 070313;2000;21-sept-00;F;;0;P;13;F;-1.2659811;-1.2659811;201305,1;1649.95063466829;6142.29788250938;8.56532407407408;1;0.996124031007752;436;13;774;0.0167958656330749;0.127906976744186;38;10087.1840052754;NA;NA;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872;0.116749814875872
2013;201306;BS21549;PB;An132 U25 GPS315 270213;1983;01-oct-83;F;;0;P;30;F;-0.1099383;-0.1099383;201306,1;455.875705436376;2274.56054438197;7.44059027777778;6;0.996992481203008;396;53;665;0.0796992481203008;0.348872180451128;195;69671.8916976606;NA;NA;1.07518351385279;1.20958145308439;0.940785574621189;0.940785574621189;0.940785574621189;0.940785574621189;0.671989696157992;0.80638763538959;0.671989696157992;0.671989696157992;0.671989696157992;0.537591756926394;0.268795878463197;0.134397939231598;0.134397939231598;0.268795878463197;0.134397939231598;0.134397939231598;0.134397939231598;0.134397939231598
2013;201308;BS8390;PB;An297 BS8390 GPS317 140313;1981;01-oct-81;M;;0;P;32;M;0.5186125;0.5186125;201308,1;2638.1937546067;8997.3937865994;17.8907407407407;0;0.994670219853431;892;0;1501;0;0.0379746835443038;19;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;201309;BS19465;PB;An33 BS19465 GPS303 270213;1994;01-oct-94;M;;0;P;19;M;-1.4011234;-1.4011234;201309,1;445.332163805351;2778.6172073564;9.42486111111111;6;0.997644287396938;527;124;849;0.14605418138987;0.301531213191991;231;55003.4630631162;NA;NA;0.848818874430805;0.742716515126955;0.742716515126955;0.636614155823104;0.530511796519253;0.530511796519253;0.424409437215403;0.530511796519253;0.424409437215403;0.530511796519253;0.424409437215403;0.424409437215403;0.106102359303851;0.106102359303851;0.106102359303851;0.212204718607701;0.106102359303851;0.106102359303851;0.106102359303851;0.106102359303851
2013;201310;BS11260;PB;An348 BC0 GPS322 070313;1986;01-oct-86;F;;0;P;27;F;0.8316234;0.8316234;201310,1;1131.88578814107;5892.92561586014;8.51123842592593;0;0.995989304812834;421;0;748;0;0.089572192513369;25;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;201311;BS25541;PB;An351 AB4 GPS342 070313;2004;23-sept-04;;M;-1;P;9;M;0.4955197;0.4955197;201311,1;2522.62303820688;9125.3865372063;11.7403935185185;0;0.996907216494845;616;0;970;0;0.1;37;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
